"","date","PortfolioValue"
"122",2019-12-03,116.692607380183
"123",2019-12-09,117.201157489424
"124",2019-12-13,118.53314108721
"125",2019-12-19,119.555435614963
"126",2019-12-26,121.593315603671
"127",2020-01-03,122.031841080415
"128",2020-01-09,121.559906269271
"129",2020-01-15,122.014676987504
"130",2020-01-22,123.455303989771
"131",2020-01-28,122.18762894235
"132",2020-02-03,119.716449244703
"133",2020-02-07,122.428786568417
"134",2020-02-13,124.77526530906
"135",2020-02-20,125.998064331718
"136",2020-02-26,115.139081185006
"137",2020-03-03,111.460006821483
"138",2020-03-09,100.073485008277
"139",2020-03-13,95.771193808347
"140",2020-03-19,84.6345569129853
"141",2020-03-25,89.5798110001923
"142",2020-03-31,91.2087817933255
"143",2020-04-06,94.5240980196247
"144",2020-04-13,100.15979128406
"145",2020-04-17,104.455514192677
"146",2020-04-23,101.437144602466
"147",2020-04-29,106.329161903286
"148",2020-05-05,103.283527557352
"149",2020-05-11,105.854890508092
"150",2020-05-15,102.740028022558
"151",2020-05-21,105.887702390858
"152",2020-05-28,107.293112997225
"153",2020-06-03,111.273697723665
"154",2020-06-09,115.144253645072
"155",2020-06-15,109.218805287226
"156",2020-06-19,109.610480411678
"157",2020-06-25,106.710172929336
"158",2020-07-01,107.605115366938
"159",2020-07-08,108.960229355352
"160",2020-07-14,110.31605751325
"161",2020-07-20,113.86079074261
"162",2020-07-24,119.442190688791
"163",2020-07-30,122.484424392969
"164",2020-08-05,127.647203054393
"165",2020-08-11,124.829573670871
"166",2020-08-17,126.72441634698
"167",2020-08-21,125.576180932528
"168",2020-08-27,126.323421396005
"169",2020-09-02,130.55597954147
"170",2020-09-09,124.184663600449
"171",2020-09-15,123.39056394895
"172",2020-09-21,119.504926485729
"173",2020-09-25,119.277806071045
"174",2020-10-01,123.589675419286
"175",2020-10-07,127.462513316071
"176",2020-10-13,128.206297633907
"177",2020-10-19,126.202047827583
"178",2020-10-23,128.661843243354
"179",2020-10-29,123.056605698812
"180",2020-11-04,126.310158706367
"181",2020-11-10,129.480855679517
"182",2020-11-16,132.85442645295
"183",2020-11-20,132.198196796558
"184",2020-11-27,134.452027773528
