"Date","Price"
"2018-09-26",108.670541038649
"2018-09-27",108.401485605473
"2018-09-28",108.702326061885
"2018-10-01",108.576967412769
"2018-10-02",108.917532887559
"2018-10-03",109.473544465207
"2018-10-04",108.067815705617
"2018-10-05",107.193382617885
"2018-10-08",106.897145579475
"2018-10-09",106.704339978894
"2018-10-10",102.973204610088
"2018-10-11",101.198614844694
"2018-10-12",102.076476616432
"2018-10-15",101.242523559504
"2018-10-16",104.135050112719
"2018-10-17",103.740436498137
"2018-10-18",102.948298158937
"2018-10-19",100.74867160005
"2018-10-22",101.047382381836
"2018-10-23",100.429412267108
"2018-10-24",98.0887161626726
"2018-10-25",99.4121049718313
"2018-10-26",98.283839957259
"2018-10-29",97.7837724739379
"2018-10-30",100.698033655033
"2018-10-31",102.527063751335
"2018-11-01",103.798652276511
